DATE,VEHICLE,Site,PAYLOAD,ORBIT,Operator,Manufacture,Use,Comm'l Price,L,M,
7/11/2010,PSLV,Space Center,Alsat 2A,SSO,Technology,EADS Astrium,Remote Sensing,,S,S,
7/11/2010,PSLV,Space Center,StudSat,LEO,ISRO,ISRO,Development,,S,S,
8/1/2010,Long March 3A,Xichang,Beidou 2-IGS 1,GEO,China,CAST,Navigation,,S,S,
8/4/2010,Ariane 5 ECA,Kourou,* Nilesat 201,GEO,Nilesat,Thales Alenia Space,Communications,$220M,S,S,
8/4/2010,Ariane 5 ECA,Kourou,* RASCOM 1R,GEO,RascomStar-QAF,Thales Alenia Space,Communications,,S,S,
8/10/2010,Long March 4C,Taiyuan,Yaogen 10,LEO,China,SAS,Remote Sensing,,S,S,
8/14/2010,Atlas V 531,CCAFS,Advanced EHF 1,GEO,USAF,Lockheed Martin Corp.,Communications,,S,S,
8/24/2010,Long March 2D,Jiuquan,Tian Hui-1,LEO,China,CAST,Remote Sensing,,S,S,
9/2/2010,Proton M,Baikonur,Glonass M36,MEO,Russian MoD,ISS Reshetnev,Navigation,,S,S,
9/2/2010,Proton M,Baikonur,Glonass M37,MEO,Russian MoD,ISS Reshetnev,Navigation,,S,S,
9/2/2010,Proton M,Baikonur,Glonass M38,MEO,Russian MoD,ISS Reshetnev,Navigation,,S,S,
9/4/2010,Long March 3B,Xichang,Chinasat 6A,GEO,SINO - SatelliteCommunication Co. Ltd.,CAST,Communications,,S,S,
9/8/2010,Rockot,Plesetsk,Gonets M 2,LEO,Roscosmos,ISS Reshetnev,Communications,,S,S,
9/10/2010,Soyuz,Baikonur,Progress ISS 39P,LEO,Roscosmos,RSC Energia,ISS,,S,S,
9/11/2010,H IIA 202,Tanegashima,QZS-1,GEO,JAXA,JAXA,Communications,,S,S,
9/20/2010,Atlas V 501,VAFB,NRO L-41,LEO,NRO,USA,Classified,,S,S,
9/21/2010,Long March 2D,Jiuquan,Yaogan 11,SSO,China,SAS,Remote Sensing,,S,S,
9/26/2010,Minotaur IV,VAFB,SBSS 1,SSO,USAF,Boeing,Classified,,S,S,
9/30/2010,Molniya-M,Plesetsk,Kosmos 2469,ELI,Russian Space Forces,NPO Lavotchkin,Classified,,S,S,
10/1/2010,Long March 3C,Xichang,Chang'e 2,EXT,China National SpaceAdministration,CAST,Scientific,,S,S,
10/6/2010,Long March 4B,Taiyuan,Shijian 6,SSO,China National SpaceAdministration,CAST,Scientific,,S,S,
10/7/2010,Soyuz,Baikonur,Soyuz ISS 24S,LEO,Roscosmos,RSC Energia,ISS,,S,S,
10/14/2010,Proton M,Baikonur,* XM 5,GEO,"XM Satellite Radio, Inc.",Space Systems/Loral,Communications,$85M,S,S,
10/19/2010,Soyuz 2 1A,Baikonur,*Globalstar2ndGen1,LEO,"Globalstar, Inc.",Thales Alenia Space,Communications,$50M,S,S,
10/19/2010,Soyuz 2 1A,Baikonur,*Globalstar2ndGen2,LEO,"Globalstar, Inc.",Thales Alenia Space,Communications,,S,S,
10/19/2010,Soyuz 2 1A,Baikonur,*Globalstar2ndGen3,LEO,"Globalstar, Inc.",Thales Alenia Space,Communications,,S,S,
10/19/2010,Soyuz 2 1A,Baikonur,*Globalstar2ndGen4,LEO,"Globalstar, Inc.",Thales Alenia Space,Communications,,S,S,
10/19/2010,Soyuz 2 1A,Baikonur,*Globalstar2ndGen5,LEO,"Globalstar, Inc.",Thales Alenia Space,Communications,,S,S,
